x	y	temp
0.0	0.0	1363
0.05	2.2098652977056616	1363
0.1	3.5503714455108764	1363
0.15	4.6227735726145625	1363
0.2	5.49603829288688	1363
0.25	6.202945669431145	1363
0.3	6.762223678082023	1363
0.35	7.18550416454211	1363
0.4	7.480211074956088	1363
0.45	7.650944462972404	1363
0.5	7.700182493288494	1363
0.55	7.62861455251219	1363
0.6	7.435228445207272	1363
0.65	7.1171810504475985	1363
0.7	6.669408423113424	1363
0.75	6.083827213424655	1363
0.8	5.347754138204735	1363
0.85	4.440540045677565	1363
0.9	3.325138770599281	1363
0.95	1.918969947700802	1363
1.0	0.0	1363
