x	y	temp
0.0	0.0	1423
0.05	2.3512004625984275	1423
0.1	3.810783811310017	1423
0.15	4.991261341171125	1423
0.2	5.961429537299679	1423
0.25	6.753394729292765	1423
0.3	7.384581290876071	1423
0.35	7.864924895723945	1423
0.4	8.200191262030742	1423
0.45	8.393772862749614	1423
0.5	8.447648459474976	1423
0.55	8.362774244315801	1423
0.6	8.139055322972098	1423
0.65	7.774988263764925	1423
0.7	7.266998247338563	1423
0.75	6.608378205832139	1423
0.8	5.787492345781672	1423
0.85	4.784255591744667	1423
0.9	3.561606392911429	1423
0.95	2.036315978073503	1423
1.0	0.0	1423
