x	y	temp
0.0	0.0	1373
0.05	1.123172643222972	1373
0.1	1.8755052471154272	1373
0.15	2.464166053330885	1373
0.2	2.949027968733901	1373
0.25	3.3591889498225385	1373
0.3	3.7113208837789387	1373
0.35	4.014407520511696	1373
0.4	4.270827471579608	1373
0.45	4.325455027474149	1373
0.5	4.49668271521189	1373
0.55	4.601941977816608	1373
0.6	4.629067457479664	1373
0.65	4.566365009202016	1373
0.7	4.403100245803188	1373
0.75	4.128131988313015	1373
0.8	3.726989866478533	1373
0.85	3.1777702593796704	1373
0.9	2.4444179455937984	1373
0.95	1.4579026372180977	1373
1.0	0.0	1373
