x	y	temp
0.0	0.0	473
0.05	0.162473899054838	473
0.1	0.08327592365913006	473
0.15	-2.6172608145536174	473
0.2	-4.028332558993313	473
0.25	-5.340019982267947	473
0.3	-4.870527606748837	473
0.35	-4.2848116760889425	473
0.4	-3.8681730920641684	473
0.45	-3.51561200023918	473
0.5	-3.134219365076433	473
0.55	-0.8472125887347062	473
0.6	-0.27546099542440317	473
0.65	1.1460236379012088	473
0.7	4.109238613159526	473
0.75	4.556240707687664	473
0.8	4.230611366809754	473
0.85	3.574605180931748	473
0.9	2.709353206682863	473
0.95	1.590383022764719	473
1.0	0.0	473
x	y	temp
0.0	0.0	473
0.05	0.162473899054838	473
0.1	0.08327592365913006	473
0.15	-2.6172608145536174	473
0.2	-4.028332558993313	473
0.25	-5.340019982267947	473
0.3	-4.870527606748837	473
0.35	-4.2848116760889425	473
0.4	-3.8681730920641684	473
0.45	-3.51561200023918	473
0.5	-3.134219365076433	473
0.55	-0.8472125887347062	473
0.6	-0.27546099542440317	473
0.65	1.1460236379012088	473
0.7	4.109238613159526	473
0.75	4.556240707687664	473
0.8	4.230611366809754	473
0.85	3.574605180931748	473
0.9	2.709353206682863	473
0.95	1.590383022764719	473
1.0	0.0	473
x	y	temp
0.0	0.0	573
0.05	0.07946512913519399	573
0.1	-0.04134565492811504	573
0.15	-2.7559379596257685	573
0.2	-4.153095691716629	573
0.25	-5.022652659465656	573
0.3	-4.63683530695269	573
0.35	-4.236821003119076	573
0.4	-2.646490962314921	573
0.45	-0.6970336961854571	573
0.5	-0.45150835573880244	573
0.55	0.1621482070347966	573
0.6	1.5172843453053773	573
0.65	3.9772270139844252	573
0.7	4.538287638885556	573
0.75	4.476259943057919	573
0.8	4.066531155117772	573
0.85	3.439696418931277	573
0.9	2.6191793798335823	573
0.95	1.5452882048647893	573
1.0	0.0	573
x	y	temp
0.0	0.0	673
0.05	0.18699026025246468	673
0.1	-0.07277077146882505	673
0.15	-0.27274131391799017	673
0.2	-0.4138369650977296	673
0.25	-5.063407640766776	673
0.3	-2.981975460916793	673
0.35	-2.770295605759557	673
0.4	-0.4455681139359413	673
0.45	-0.12137054801839042	673
0.5	0.5336431295114181	673
0.55	1.8934093205825704	673
0.6	3.7044420565450054	673
0.65	4.26209982597679	673
0.7	4.396221309666515	673
0.75	4.225033290609019	673
0.8	3.831372988222377	673
0.85	3.259258759525906	673
0.9	2.498807015489902	673
0.95	1.4850993079082642	673
1.0	0.0	673
x	y	temp
0.0	0.0	773
0.05	0.874543394232397	773
0.1	1.233835237032892	773
0.15	0.9120438210185142	773
0.2	0.6483612085071897	773
0.25	0.533072155137269	773
0.3	0.5557393273504729	773
0.35	0.5890967382180605	773
0.4	0.9035268057969716	773
0.45	1.5842247854311609	773
0.5	2.9389167540604504	773
0.55	3.748325531743376	773
0.6	4.205067456372134	773
0.65	4.415906039376672	773
0.7	4.395332855697845	773
0.75	4.171413119939217	773
0.8	3.774659999298926	773
0.85	3.2150776158786414	773
0.9	2.469320310621619	773
0.95	1.4703548570254767	773
1.0	0.0	773
x	y	temp
0.0	0.0	873
0.05	1.0021203475046576	873
0.1	1.580936198627228	873
0.15	1.9429031204107758	873
0.2	2.163631066361866	873
0.25	2.318817613554394	873
0.3	2.4423294911246884	873
0.35	2.7384899012346935	873
0.4	2.954993306007708	873
0.45	3.3925414905528726	873
0.5	3.8243476877682667	873
0.55	4.181126038504985	873
0.6	4.41286755838459	873
0.65	4.488654855251923	873
0.7	4.398893878088671	873
0.75	4.150336054938904	873
0.8	3.751496843760151	873
0.85	3.1969542422915396	873
0.9	2.4572231868616257	873
0.95	1.4643057940745763	873
1.0	0.0	873
x	y	temp
0.0	0.0	973
0.05	1.0596439513531521	973
0.1	1.7229859755150585	973
0.15	2.2002155577397957	973
0.2	2.5628753113882397	973
0.25	2.8615993213120987	973
0.3	3.1407458879416907	973
0.35	3.4318372467117086	973
0.4	3.5434194098104257	973
0.45	3.856926585841478	973
0.5	4.149200223303552	973
0.55	4.380599615556719	973
0.6	4.51444025493177	973
0.65	4.525095478824738	973
0.7	4.400942453680784	973
0.75	4.140032584464535	973
0.8	3.7401040462461452	973
0.85	3.1880342121649363	973
0.9	2.4512690641683577	973
0.95	1.4613284822501953	973
1.0	0.0	973
x	y	temp
0.0	0.0	1073
0.05	1.0897274325535307	1073
0.1	1.7955399456477608	1073
0.15	2.3266589938044717	1073
0.2	2.7494590688273064	1073
0.25	3.1038713875265813	1073
0.3	3.419445345850562	1073
0.35	3.715487364231194	1073
0.4	3.8128913609036204	1073
0.45	4.0820090894874	1073
0.5	4.314678889441041	1073
0.55	4.48540994455351	1073
0.6	4.568586712907404	1073
0.65	4.544604120887257	1073
0.7	4.402011232686263	1073
0.75	4.134470207410402	1073
0.8	3.73396134792398	1073
0.85	3.1832254318247806	1073
0.9	2.4480592145380484	1073
0.95	1.4597234228378255	1073
1.0	0.0	1073
x	y	temp
0.0	0.0	1173
0.05	1.10672669141384	1173
0.1	1.8362433182644367	1173
0.15	2.3968051413038722	1173
0.2	2.8515332691235926	1173
0.25	3.234759411814778	1173
0.3	3.56921619971898	1173
0.35	3.868724384664759	1173
0.4	3.9724809691080054	1173
0.45	4.2063232613010655	1173
0.5	4.4073682091987365	1173
0.55	4.544652215266609	1173
0.6	4.599313134014878	1173
0.65	4.555666326400313	1173
0.7	4.402579705210599	1173
0.75	4.131267135897531	1173
0.8	3.7304343024492823	1173
0.85	3.180465182428179	1173
0.9	2.446216771238767	1173
0.95	1.4588021245107399	1173
1.0	0.0	1173
