x	y	temp
0.0	0.0	1200
0.05	1.5480560799643115	1200
0.1	2.4028073884499292	1200
0.15	3.055880045451758	1200
0.2	3.574738164925037	1200
0.25	3.990659756089272	1200
0.3	4.320871160710595	1200
0.35	4.575502984592134	1200
0.4	4.760478302731869	1200
0.45	4.87889663800641	1200
0.5	4.931735738592565	1200
0.55	4.918182787972043	1200
0.6	4.835714218118937	1200
0.65	4.679948512525769	1200
0.7	4.444225003199847	1200
0.75	4.118763546119041	1200
0.8	3.6890435344427743	1200
0.85	3.132418756175909	1200
0.9	2.409711875704687	1200
0.95	1.43616671958398	1200
1.0	0.0	1200
