x	y	temp
0.0	0.0	1830
0.05	1.6726737426770768	1830
0.1	2.617489840057033	1830
0.15	3.3493057363849914	1830
0.2	3.9356683644668777	1830
0.25	4.4079385528392265	1830
0.3	4.783425462445891	1830
0.35	5.07234251832125	1830
0.4	5.280695614569069	1830
0.45	5.411667096998173	1830
0.5	5.466317742103342	1830
0.55	5.443919844264144	1830
0.6	5.34204438858994	1830
0.65	5.156431684724723	1830
0.7	4.880601445789722	1830
0.75	4.505054186501383	1830
0.8	4.015690673117973	1830
0.85	3.390445967640531	1830
0.9	2.5908582632123824	1830
0.95	1.5329316777685023	1830
1.0	0.0	1830
