alpha	beta	x	y
-86240.38406624722	-151838.1431057378	0.0	-86240.38406624722
-86672.64391043696	-133097.0533216244	0.05	-88993.86438099634
-87430.87957729356	-123299.37255998945	0.1	-91017.72887556315
-88253.16650652757	-117554.09855729068	0.15	-92648.30631414204
-89124.22435384785	-113434.43371165585	0.2	-93986.26622540945
-90117.61806037318	-109972.03162141857	0.25	-95081.22145063452
-91270.30849883698	-106910.13363372163	0.3	-95962.25603930237
-92554.99016146912	-104249.04323503555	0.35	-96647.90873721737
-93909.73117665084	-102011.46393765246	0.4	-97150.42428105148
-95285.9840738193	-100156.77944859609	0.45	-97477.84199246886
-96686.42435184732	-98583.7435431359	0.5	-97635.08394749161
-98200.1952972717	-97197.16845624363	0.55	-97648.53053470625
-99952.95232373211	-95924.01543031851	0.6	-97535.59018768395
-102014.19536193862	-94689.38631546265	0.65	-97253.06948172924
-104454.67894379469	-93513.21623289661	0.7	-96795.65504616604
-107296.90978917852	-92438.68747697969	0.75	-96153.2430550294
-110587.17140234426	-91488.81452977042	0.8	-95308.48590428519
-114606.62551945624	-90636.76039659338	0.85	-94232.24016502281
-120290.76448266803	-89827.16870497885	0.9	-92873.52828274776
-129927.99505206116	-89087.30244530739	0.95	-91129.33707564507
-148101.9871542644	-88660.63321881824	1.0	-88660.63321881824
