alpha	beta	x	y
-1631.7383268097535	-12131.999187967152	0.0	-1631.7383268097535
-1649.2447067521025	-11492.841963848883	0.05	-2141.4245696069415
-1710.673604367068	-10714.270074863072	0.1	-2611.0332514166685
-1837.8486368190283	-9846.664809259379	0.15	-3039.171062685081
-2010.3916279122209	-9037.938418996899	0.2	-3415.9009861291565
-2182.1454254538867	-8434.623893821052	0.25	-3745.2650425456777
-2295.189031332028	-8122.655945360399	0.3	-4043.4291055405392
-2298.8150374725965	-8108.426556916548	0.35	-4332.17906927798
-2167.8816977765973	-8327.740791555938	0.4	-4631.825335288334
-1916.4873234593647	-8671.833908434042	0.45	-4956.393286697969
-1603.2946956675814	-9019.990843735915	0.5	-5311.642769701749
-1326.0156114102456	-9269.491534777411	0.55	-5694.927369262187
-1205.2821658638923	-9356.322052836249	0.6	-6095.906098047306
-1361.2944192453706	-9263.25455541334	0.65	-6497.56850775455
-1889.6451067090848	-9014.910078891262	0.7	-6877.330587236609
-2845.5560060152284	-8662.252148843218	0.75	-7208.07811313622
-4248.4856806066	-8261.68428813938	0.8	-7459.044566632825
-6121.661081380178	-7856.517268644402	0.85	-7596.288840554768
-8609.516336581137	-7497.0027984432445	0.9	-7608.254152257034
-12116.249004677044	-7235.357281958094	0.95	-7479.401868094042
-17475.119121314943	-7098.614346571097	1.0	-7098.614346571097
