alpha	beta	x	y
-42806.15460169948	-10044.534627998535	0.9999999999999991	-10044.534627998564
-15173.728580261353	-62570.270096605025	9.99999999999999e-16	-15173.7285802614
-15173.728580261353	-62570.270096605025	9.99999999999999e-16	-15173.7285802614
-15181.657268326428	-62563.80306462443	0.0005002501250635303	-15205.360192686803
-15186.864042116347	-62547.78026425402	0.0010005002501260606	-15234.248650642796
-15191.04952223283	-62524.160616747715	0.0015007503751885908	-15262.084706466767
-15194.58246658979	-62493.56459971333	0.002001000500251121	-15289.22775349954
-15197.642443425473	-62456.41704725506	0.0025012506253136516	-15315.84848295486
-15200.338395510189	-62413.065839375646	0.0030015007503761816	-15342.047432360258
-15202.744705657873	-62363.81809077017	0.003501750875438712	-15367.89103567082
-15204.916100489449	-62308.95517598266	0.004002001000501242	-15393.426511997222
-15206.894968086739	-62248.74016658757	0.004502251125563773	-15418.689168580286
-15208.715383731052	-62183.421974613084	0.005002501250626303	-15443.706412199743
-15210.40551318333	-62113.23787168558	0.0055027513756888335	-15468.500138467782
-15211.989139194051	-62038.41512960635	0.006003001500751363	-15493.08824468932
-15213.486679783804	-61959.17215092333	0.006503251625813894	-15517.485634823777
-15214.915895131773	-61875.71928635724	0.007003501750876424	-15541.70491337952
-15216.29239488549	-61788.25945091741	0.007503751875938954	-15565.756880048357
-15217.63001268137	-61696.988605518025	0.008004002001001485	-15589.6508918637
-15218.941089476693	-61602.09614571727	0.008504252126064015	-15613.395134477285
-15220.236692539158	-61503.7652244462	0.009004502251126544	-15636.996829394795
-15221.526787953686	-61402.17302660841	0.009504752376189075	-15660.462395024486
-15222.820378845898	-61297.49100777021	0.010005002501251607	-15683.797573732629
-15224.12561785058	-61189.88510549038	0.010505252626314134	-15707.00753342863
-15225.449899910747	-61079.51592939552	0.011005502751376666	-15730.096949760049
-15226.799939829829	-60966.538934443306	0.011505752876439197	-15753.07007333468
-15228.18183784414	-60851.10458066105	0.012006003001501727	-15775.930785231682
-15229.601135665409	-60733.35848182885	0.012506253126564257	-15798.682643246288
-15231.062864855025	-60613.44154498853	0.013006503251626788	-15821.32892072474
-15232.571588962286	-60491.490102229975	0.013506753376689318	-15843.872639416672
-15234.131440541216	-60367.63603588858	0.014007003501751847	-15866.31659745458
-15235.746153922177	-60242.006898048836	0.01450725362681438	-15888.663393331763
-15237.41909443384	-60114.726025068434	0.015007503751876908	-15910.91544656947
-15239.153284632781	-59985.9126476987	0.01550775387693944	-15933.075015625842
-15240.951427990705	-59855.68199726955	0.01600800400200197	-15955.14421349196
-15242.815930405563	-59724.14540832363	0.016508254127064498	-15977.125021336718
-15244.748919837155	-59591.41041801789	0.01700850425212703	-15999.0193004966
-15246.752264315164	-59457.58086255859	0.01750875437718956	-16020.828803053835
-15248.827588525812	-59322.756970893344	0.01800900450225209	-16042.555181204809
-15250.976289149743	-59187.03545585032	0.01850925462731462	-16064.199995586965
-15253.199549096063	-59050.509602886625	0.01900950475237715	-16085.764722704931
-15255.498350755433	-58913.26935658605	0.019509754877439684	-16107.250761574582
-15257.873488376596	-58775.401405027085	0.02001000500250221	-16128.659439685302
-15260.325579655675	-58636.98926212757	0.020510255127564738	-16149.992018365745
-15262.855076615086	-58498.11334805917	0.02101050525262727	-16171.249697625957
-15265.462275838208	-58358.85106781414	0.0215107553776898	-16192.433620538082
-15268.147328117508	-58219.276887998334	0.022011005502752333	-16213.544877209473
-15270.910247566178	-58079.46241191651	0.022511255627814863	-16234.584508394515
-15273.750920237173	-57939.47645300953	0.023011505752877394	-16255.553508785251
-15276.669112288308	-57799.385106697926	0.02351175587793992	-16276.452830015838
-15279.664477727489	-57659.25182068137	0.02401200600300245	-16297.283383411264
-15282.736565768195	-57519.137463739375	0.024512256128064985	-16318.046042506898
-15285.88482782224	-57379.10039307561	0.025012506253127516	-16338.741645362385
-15289.108624153785	-57239.19652024457	0.025512756378190046	-16359.370996690408
-15292.407230216064	-57099.479375697236	0.026013006503252577	-16379.934869818415
-15295.779842690388	-56960.00017197954	0.026513256628315114	-16400.434008499495
-15299.225585244794	-56820.80786561601	0.027013506753377634	-16420.869128586528
-15302.743514028361	-56681.94921770852	0.027513756878440165	-16441.240919582382
-15306.332622915477	-56543.468853278944	0.028014007003502702	-16461.550046077275
-15309.991848513448	-56405.40931938315	0.028514257128565226	-16481.79714908356
-15313.72007494539	-56267.81114202193	0.02901450725362776	-16501.982847276813
-15317.516138419498	-56130.71288187398	0.02951475737869029	-16522.10773815131
-15321.37883159502	-55994.15118887478	0.030015007503752817	-16542.172399097202
-15325.306907754295	-55858.1608556641	0.030515257628815344	-16562.177388405908
-15329.299084789614	-55722.774869924244	0.031015507753877878	-16582.123246209536
-15333.354049013074	-55588.024465630464	0.03151575787894041	-16602.010495359733
-15337.47045879703	-55453.93917323394	0.03201600800400294	-16621.839642250776
-15341.646948052152	-55320.54686879738	0.032516258129065466	-16641.611177591178
-15345.882129549786	-55187.87382210263	0.033016508254128	-16661.325577127856
-15350.174598094833	-55055.944743749016	0.03351675837919053	-16680.9833023264
-15354.52293355503	-54924.78283126079	0.03401700850425306	-16700.58480101079
-15358.925703752082	-54794.40981422147	0.034517258629315595	-16720.13050796542
-15363.381467219957	-54664.84599845246	0.03501750875437812	-16739.62084550227
-15367.888775835281	-54536.11030925297	0.03551775887944065	-16759.056223995725
-15372.44617732445	-54408.22033371776	0.036018009004503186	-16778.437042387177
-15377.052217651999	-54281.19236214897	0.03651825912956571	-16797.76368866168
-15381.70544329447	-54155.04142857787	0.03701850925462824	-16817.036540298493
-15386.404403403749	-54029.78135041207	0.03751875937969078	-16836.255964697244
-15391.147651863808	-53905.424767223456	0.0380190095047533	-16855.42231958137
-15395.933749244608	-53781.98317869172	0.03851925962981583	-16874.535953380426
-15400.76126465649	-53659.466981718186	0.03901950975487837	-16893.5972055924
