alpha	beta	x	y
-1374.0056856126694	-14428.62058353857	0.0	-1374.0056856126694
-1409.2598999965494	-13087.32013737514	0.05	-1993.1629118654791
-1506.7406200297764	-11835.467449170264	0.1	-2539.613302943825
-1689.333256528453	-10580.25483308728	0.15	-3022.971493012277
-1935.3424245776268	-9430.78242023784	0.2	-3434.4304237096694
-2190.872201909987	-8539.193964068594	0.25	-3777.9526424496385
-2386.1650017219577	-8006.291808619754	0.3	-4072.2030437912967
-2459.0186141674826	-7844.987878981496	0.35	-4344.107856852387
-2376.565139623274	-7983.111722127669	0.4	-4619.183772625032
-2151.8412198090136	-8292.242309296005	0.45	-4915.02171007816
-1850.3866670569414	-8628.038005294478	0.5	-5239.212336175709
-1582.7750717936165	-8868.20558988272	0.55	-5589.761856742624
-1483.162434394856	-8938.431682475526	0.6	-5956.323983243258
-1678.805921541898	-8821.465975379726	0.65	-6321.534956536486
-2259.919579312851	-8548.960412889643	0.7	-6662.248162816605
-3263.280625111743	-8179.7152434200925	0.75	-6950.606588843005
-4686.877228028125	-7771.860159366593	0.8	-7154.863573098899
-6556.607178936689	-7360.217231078204	0.85	-7239.675723256977
-9120.268986090174	-7004.324475787702	0.9	-7215.918926817949
-12977.375171572174	-6705.887141950066	0.95	-7019.461543431171
-19506.947921520965	-6548.054166974113	1.0	-6548.054166974113
