alpha	beta	x	y
-64382.17487353257	-121662.85993876727	0.0	-64382.17487353257
-64754.45019810403	-105606.62438880341	0.05	-66797.058907639
-65420.17285971902	-97017.17097257962	0.1	-68579.87267100508
-66159.93761151365	-91842.7835992414	0.15	-70012.36450967281
-66956.60823478947	-88075.27486603163	0.2	-71180.3415610379
-67865.18935996298	-84913.33984956918	0.25	-72127.22698236453
-68909.60911720373	-82142.26885570763	0.3	-72879.4070387549
-70060.68080551957	-79757.42488168347	0.35	-73454.54123217694
-71261.38265257647	-77770.76242779201	0.4	-73865.13456266269
-72467.00052173274	-76141.07008002215	0.45	-74120.33182296298
-73676.41622478794	-74777.35708710001	0.5	-74226.88665594398
-74972.34440467566	-73606.32446112185	0.55	-74221.03343572107
-76433.69770003563	-72540.23787866528	0.6	-74097.62180721342
-78125.12788018004	-71523.3876358362	0.65	-73833.99672135654
-80102.1731493903	-70568.7034211532	0.7	-73428.74433962433
-82381.6501134967	-69707.29996415453	0.75	-72875.88750149007
-85004.89871679558	-68951.69943275099	0.8	-72162.33928955991
-88219.51191900147	-68271.49991395159	0.85	-71263.70171470907
-92838.24908051733	-67613.32651123722	0.9	-70135.81876816523
-100835.16012167605	-66998.22968911167	0.95	-68690.07621073989
-116150.38211357457	-66641.13008748	1.0	-66641.13008748
