alpha	beta	x	y
-119555.67163594574	-196783.91734896143	0.0	-119555.67163594574
-120070.98805306581	-174336.41840765413	0.05	-122784.25957079523
-120957.92508310245	-162855.895563515	0.1	-125147.7221311437
-121895.80271660574	-156311.2123981929	0.15	-127058.11416884382
-122870.77340997427	-151700.40611005478	0.2	-128636.69994999038
-123981.76382849846	-147821.5037189962	0.25	-129941.6988011229
-125284.38016514372	-144356.37273674656	0.3	-131005.97793662458
-126754.70833601692	-141310.87177792392	0.35	-131849.36554068438
-128324.0218673147	-138723.64810094782	0.4	-132483.87236076794
-129936.99809632667	-136557.51687569535	0.45	-132916.23154704258
-131598.54294172616	-134699.85660744185	0.5	-133149.199774584
-133400.2962118119	-133024.42686005656	0.55	-133193.56806834645
-135533.0805822544	-131482.20558433238	0.6	-133102.55558350118
-138070.650972575	-129967.93695496481	0.65	-132803.88686112838
-141107.8875452324	-128506.86711438838	0.7	-132287.1732436416
-144684.6133754853	-127154.18304593049	0.75	-131536.7906283192
-148870.12379085232	-125943.57574944114	0.8	-130528.88535772337
-154013.86314763495	-124851.69766113462	0.85	-129226.02248410966
-161245.01024575048	-123822.60969323163	0.9	-127564.84974848351
-173305.59652261462	-122898.17620846751	0.95	-125418.54722417486
-195670.7642525251	-122369.34933013281	1.0	-122369.34933013281
