alpha	beta	x	y
-98895.12985817663	-146252.91063652924	9.99999999999999e-16	-98895.12985817668
-149036.29797178713	-95479.35459212535	0.9999999999999991	-95479.3545921254
-149036.29797178713	-95479.35459212535	0.9999999999999991	-95479.3545921254
-148772.07570632838	-95507.0509200933	0.9994997498749365	-95533.69675540412
-148500.49115151438	-95525.38899332483	0.998999499749874	-95578.39059628455
-148227.53847832602	-95540.37497951573	0.9984992496248114	-95619.4452599042
-147954.48010101047	-95553.28323402388	0.9979989994997489	-95658.13805516849
-147681.90783942497	-95564.71746235786	0.9974987493746864	-95695.07561737808
-147410.1642563673	-95575.03205780571	0.9969984992496238	-95730.61524599555
-147139.47078452088	-95584.4602284492	0.9964982491245613	-95764.99303179717
-146869.98064270843	-95593.16691364841	0.9959979989994988	-95798.37677349463
-146601.8047913806	-95601.27473969646	0.9954977488744362	-95830.891933526
-146335.02618933667	-95608.8782767886	0.9949974987493737	-95862.63589516058
-146069.7082854136	-95616.0525307667	0.9944972486243112	-95893.68645437912
-145805.90039496505	-95622.85831989856	0.9939969984992487	-95924.10719678744
-145543.6412713898	-95629.34584651432	0.9934967483741861	-95953.95106938749
-145282.96157197884	-95635.55716306747	0.9929964982491236	-95983.26284677174
-145023.88561560668	-95641.52792999819	0.9924962481240611	-96012.08088911987
-144766.4326695791	-95647.28870275806	0.9919959979989985	-96040.43842935597
-144510.61791345305	-95652.86589582976	0.991495747873936	-96068.36453730034
-144256.45317533525	-95658.2825191361	0.9909954977488735	-96095.88485621048
-144003.94750385656	-95663.5587502957	0.9904952476238109	-96123.02217516702
-143753.10761951073	-95668.71238606116	0.9899949974987484	-96149.796880643
-143503.93827537578	-95673.75920323365	0.9894947473736859	-96176.22731754834
-143256.4425488952	-95678.71325066306	0.9889944972486233	-96202.330081359
-143010.62208054718	-95683.58708803204	0.9884942471235608	-96228.12025703052
-142766.4772707792	-95688.39198301916	0.9879939969984983	-96253.61161628895
-142524.00744410837	-95693.13807552736	0.9874937468734357	-96278.8167819879
-142283.21098677872	-95697.83451557925	0.9869934967483732	-96303.74736613016
-142044.0854632734	-95702.48957994828	0.9864932466233107	-96328.41408662655
-141806.62771544085	-95707.11077147257	0.9859929964982481	-96352.8268667358
-141570.833947397	-95711.70490414725	0.9854927463731856	-96376.99492028248
-141336.6997986724	-95716.27817645021	0.9849924962481231	-96400.92682510792
-141104.22040757755	-95720.8362348652	0.9844922461230605	-96424.63058671821
-140873.39046634475	-95725.38422918489	0.983991995997998	-96448.11369371176
-140644.20426929474	-95729.92686088078	0.9834917458729355	-96471.38316627234
-140416.65575516663	-95734.46842559004	0.9829914957478729	-96494.44559877948
-140190.73854439554	-95739.01285058688	0.9824912456228104	-96517.30719740198
-139966.44597217801	-95743.56372795311	0.9819909954977479	-96539.97381339192
-139743.77111767256	-95748.12434405037	0.9814907453726854	-96562.45097267674
-139522.70683016136	-95752.69770578895	0.9809904952476228	-96584.7439022503
-139303.24575239027	-95757.28656411778	0.9804902451225603	-96606.85755378396
-139085.38034138494	-95761.89343509417	0.9799899949974978	-96628.79662481489
-138869.10288733811	-95766.52061883018	0.9794897448724352	-96650.56557781412
-138654.40553039112	-95771.17021658325	0.9789894947473727	-96672.16865739366
-138441.28027606485	-95775.84414620168	0.9784892446223102	-96693.60990587361
-138229.71900894606	-95780.54415612813	0.9779889944972476	-96714.89317740081
-138019.7135053784	-95785.27183811345	0.9774887443721851	-96736.02215078329
-137811.25544473407	-95790.02863879551	0.9769884942471226	-96757.00034118333
-137604.3364199063	-95794.81587025632	0.97648824412206	-96777.83111079341
-137398.94794672413	-95799.63471967446	0.9759879939969975	-96798.51767860315
-137195.081472685	-95804.48625816056	0.975487743871935	-96819.06312935204
-136992.72838484865	-95809.37144886499	0.9749874937468724	-96839.47042175106
-136791.88001711498	-95814.29115442703	0.9744872436218099	-96859.74239604642
-136592.52765695425	-95819.24614382986	0.9739869934967474	-96879.88178098972
-136394.662551532	-95824.23709872161	0.9734867433716851	-96899.8912002719
-136198.27591338454	-95829.26461925008	0.9729864932466223	-96919.77317847137
-136003.3589256467	-95834.3292294578	0.9724862431215598	-96939.53014656158
-135809.90274689434	-95839.43138227594	0.9719859929964975	-96959.16444701765
-135617.89851559253	-95844.57146415506	0.9714857428714347	-96978.67833855827
-135427.33735422968	-95849.74979936321	0.9709854927463722	-96998.07400055497
-135238.21037319605	-95854.9666539782	0.9704852426213098	-97017.35353713675
-135050.50867424483	-95860.22223960696	0.9699849924962471	-97036.51898101684
-134864.2233538694	-95865.5167168445	0.9694847423711846	-97055.5722970639
-134679.34550634216	-95870.85019850265	0.9689844922461222	-97074.51538563929
-134495.86622656157	-95876.2227526231	0.9684842421210595	-97093.35008571875
-134313.7766127054	-95881.63440529253	0.967983991995997	-97112.07817781603
-134133.06776872234	-95887.08514327474	0.9674837418709346	-97130.70138672355
-133953.73080658398	-95892.57491647726	0.9669834917458722	-97149.22138408461
-133775.7568485325	-95898.1036402568	0.9664832416208095	-97167.63979080935
-133599.13702894864	-95903.67119758979	0.965982991495747	-97185.95817934691
