alpha	beta	x	y
-100707.44619711483	-148875.28020266822	9.99999999999999e-16	-100707.44619711487
-151613.86387010405	-97373.40210277587	0.9999999999999991	-97373.40210277592
-151613.86387010405	-97373.40210277587	0.9999999999999991	-97373.40210277592
-151346.27413369008	-97401.42938342964	0.9994997498749365	-97428.41529876248
-151071.23431963281	-97419.98670761716	0.998999499749874	-97473.66479427255
-150794.81021379438	-97435.15200124339	0.9984992496248114	-97515.2315283258
-150518.2793129906	-97448.21484487239	0.9979989994997489	-97554.40807042146
-150242.2405076935	-97459.78615667604	0.9974987493746864	-97591.80830362711
-149967.0404534199	-97470.224563965	0.9969984992496238	-97627.79379624956
-149692.90322832466	-97479.76606099175	0.9964982491245613	-97662.60345977686
-149419.98388171993	-97488.57755765128	0.9959979989994988	-97696.40709771765
-149148.39469968466	-97496.78314523911	0.9954977488744362	-97729.3316714973
-148878.21963211993	-97504.4785237545	0.9949974987493737	-97761.47572789845
-148609.52288583873	-97511.7395950996	0.9944972486243112	-97792.91799239736
-148342.35436530385	-97518.62790409756	0.9939969984992487	-97823.72281031795
-148076.7532868547	-97525.19425280057	0.9934967483741861	-97853.94376127621
-147812.7506740136	-97531.48119601398	0.9929964982491236	-97883.62615483944
-147550.37113610434	-97537.52482016203	0.9924962481240611	-97912.80880952632
-147289.63417057446	-97543.35604568849	0.9919959979989985	-97941.52535534246
-147030.55513828417	-97549.00160259436	0.991495747873936	-97969.8052094512
-146773.1460085707	-97554.48477564525	0.9909954977488735	-97997.67432151455
-146517.41593810316	-97559.82598346366	0.9904952476238109	-98025.1557529175
-146263.3717276287	-97565.0432353606	0.9899949974987484	-98052.27013373251
-146011.01818691287	-97570.15249656295	0.9894947473736859	-98079.03602807743
-145760.35843011783	-97575.16798370135	0.9889944972486233	-98105.470229735
-145511.39411725174	-97580.10240644756	0.9884942471235608	-98131.5880039206
-145264.1256534746	-97584.96716703314	0.9879939969984983	-98157.40328693044
-145018.55235516228	-97589.77252644018	0.9874937468734357	-98182.92885246227
-144774.6725892278	-97594.52774394343	0.9869934967483732	-98208.17645128584
-144532.48389098386	-97599.24119513576	0.9864932466233107	-98233.1569293969
-144291.98306447582	-97603.92047242822	0.9859929964982481	-98257.88032864504
-144053.166268403	-97608.57247115878	0.9854927463731856	-98282.35597296977
-143816.0290901305	-97613.2034637945	0.9849924962481231	-98306.59254272905
-143580.56660983287	-97617.81916421298	0.9844922461230605	-98330.59813910759
-143346.77345623146	-97622.42478366736	0.983991995997998	-98354.3803402067
-143114.64385543528	-97627.02507973241	0.9834917458729355	-98377.94625011674
-142884.17167369084	-97631.62439930052	0.9829914957478729	-98401.30254203657
-142655.3504551559	-97636.22671649975	0.9824912456228104	-98424.45549631618
-142428.17345533357	-97640.83566626119	0.9819909954977479	-98447.41103414848
-142202.63367059216	-97645.45457414394	0.9814907453726854	-98470.17474751496
-141978.72386477358	-97650.08648291517	0.9809904952476228	-98492.75192589201
-141756.43659261247	-97654.73417632465	0.9804902451225603	-98515.14758014421
-141535.76422097828	-97659.40020042268	0.9799899949974978	-98537.3664639656
-141316.69894786124	-97664.08688273543	0.9794897448724352	-98559.41309317577
-141099.2328194424	-97668.79634955786	0.9789894947473727	-98581.29176313226
-140883.3577456475	-97673.53054158513	0.9784892446223102	-98603.00656448396
-140669.06551406425	-97678.29122808193	0.9779889944972476	-98624.56139745827
-140456.3478027038	-97683.08001974989	0.9774887443721851	-98645.95998484895
-140245.1961914557	-97687.89838044382	0.9769884942471226	-98667.20588384883
-140035.6021727097	-97692.74763785476	0.97648824412206	-98688.30249685339
-139827.5571608664	-97697.62899327812	0.9759879939969975	-98709.25308134432
-139621.05250116577	-97702.54353055502	0.975487743871935	-98730.06075894921
-139416.0794777088	-97707.49222427588	0.9749874937468724	-98750.72852376149
-139212.62932078695	-97712.47594731959	0.9744872436218099	-98771.25924999439
-139010.69321371758	-97717.49547778972	0.9739869934967474	-98791.65569903451
-138810.2622990052	-97722.55150541205	0.9734867433716851	-98811.92052595256
-138611.3276841548	-97727.64463743714	0.9729864932466223	-98832.0562855226
-138413.88044688388	-97732.77540410201	0.9724862431215598	-98852.06543779539
-138217.91164006645	-97737.94426368241	0.9719859929964975	-98871.95035326599
-138023.41229624985	-97743.15160717862	0.9714857428714347	-98891.71331767243
-137830.37343176943	-97748.3977626666	0.9709854927463722	-98911.35653645752
