alpha	beta	x	y
-77588.73929256131	-115321.68693154302	9.99999999999999e-16	-77588.73929256135
-118470.38773869933	-73360.82775855115	0.9999999999999991	-73360.8277585512
-118470.38773869933	-73360.82775855115	0.9999999999999991	-73360.8277585512
-118246.91187188591	-73384.51955902002	0.9994997498749365	-73406.96197638518
-118017.13595390096	-73400.20469568335	0.998999499749874	-73444.84394656705
-117786.18761567149	-73413.0210619067	0.9984992496248114	-73479.61410826056
-117555.14677274127	-73424.05878805203	0.9979989994997489	-73512.36511718603
-117324.51968992183	-73433.8343064025	0.9974987493746864	-73543.61591066346
-117094.59940864128	-73442.65077857218	0.9969984992496238	-73573.67213514072
-116865.57535121127	-73450.70769997718	0.9964982491245613	-73602.73575078194
-116637.57858733789	-73458.14616650602	0.9959979989994988	-73630.95029825527
-116410.7040373923	-73465.07107792288	0.9954977488744362	-73658.42310225271
-116185.02266816067	-73471.56333379353	0.9949974987493737	-73685.23746753228
-115960.58875687022	-73477.68709762995	0.9944972486243112	-73711.45994317859
-115737.44449044041	-73483.49439638152	0.9939969984992487	-73737.14492220883
-115515.62302076354	-73489.02817574123	0.9934967483741861	-73762.33769699454
-115295.15057398453	-73494.32440970375	0.9929964982491236	-73787.07656893338
-115076.04795415426	-73499.41360430495	0.9924962481240611	-73811.39435230286
-114858.33164402605	-73504.3218985891	0.9919959979989985	-73835.319475341
-114642.01462956716	-73509.07188926626	0.991495747873936	-73858.87680501673
-114427.10702976775	-73513.68326066322	0.9909954977488735	-73882.08827709341
-114213.61658595479	-73518.17327425162	0.9904952476238109	-73904.9733857686
-114001.54904789435	-73522.5571548243	0.9899949974987484	-73927.5495699626
-113790.90848235149	-73526.84839923479	0.9894947473736859	-73949.83252216902
-113581.69752268	-73531.0590261849	0.9889944972486233	-73971.83643835247
-113373.91757302792	-73535.19978048875	0.9884942471235608	-73993.5742223239
-113167.56897675125	-73539.28030173376	0.9879939969984983	-74015.0576545104
-112962.65115681838	-73543.30926476757	0.9874937468734357	-74036.29753255213
-112759.16273359957	-73547.29449765777	0.9869934967483732	-74057.30378937091
-112557.10162446107	-73551.24308146384	0.9864932466233107	-74078.08559305013
-112356.46512861236	-73555.16143519279	0.9859929964982481	-74098.65143189905
-112157.24999970458	-73559.05538859076	0.9854927463731856	-74119.00918735133
-111959.45250848222	-73562.93024486746	0.9849924962481231	-74139.16619679768
-111763.06849687091	-73566.79083503764	0.9844922461230605	-74159.12930803258
-111568.0934252184	-73570.64156522843	0.983991995997998	-74178.90492666903
-111374.52241350403	-73574.4864580565	0.9834917458729355	-74198.4990576212
-111182.3502774951	-73578.32918897382	0.9829914957478729	-74217.917341555
-110991.57156070584	-73582.17311832074	0.9824912456228104	-74237.16508704689
-110802.18056262514	-73586.02131970235	0.9819909954977479	-74256.24729906468
-110614.17136371824	-73589.87660519965	0.9814907453726854	-74275.16870428182
-110427.53784783508	-73593.74154784031	0.9809904952476228	-74293.93377365316
-110242.27372208757	-73597.61850169458	0.9804902451225603	-74312.54674261274
-110058.37253479296	-73601.50961989649	0.9799899949974978	-74331.0116291991
-109875.82769146554	-73605.41687085436	0.9794897448724352	-74349.33225036669
-109694.63246935917	-73609.34205286714	0.9789894947473727	-74367.51223670543
-109514.78003046926	-73613.286807341	0.9784892446223102	-74385.5550457575
-109336.26343342428	-73617.2526307647	0.9779889944972476	-74403.46397409492
-109159.07564419147	-73621.24088558856	0.9774887443721851	-74421.24216829852
-108983.20954583876	-73625.25281012681	0.9769884942471226	-74438.89263496063
-108808.65794740661	-73629.28952759094	0.97648824412206	-74456.41824981775
-108635.41359207261	-73633.35205434407	0.9759879939969975	-74473.82176610547
-108463.4691644852	-73637.44130746243	0.975487743871935	-74491.1058222169
-108292.817297661	-73641.55811166753	0.9749874937468724	-74508.27294873593
-108123.45057909894	-73645.70320570107	0.9744872436218099	-74525.32557490734
-107955.36155661603	-73649.87724818701	0.9739869934967474	-74542.26603459941
-107788.54274349957	-73654.08082304121	0.9734867433716851	-74559.09657180776
-107622.98662346709	-73658.31444445971	0.9729864932466223	-74575.81934574358
-107458.68565505429	-73662.5785615362	0.9724862431215598	-74592.43643554498
-107295.63227580415	-73666.87356253267	0.9719859929964975	-74608.94984464535
-107133.81890605162	-73671.19977884143	0.9714857428714347	-74625.36150482995
-106973.2379524477	-73675.55748866197	0.9709854927463722	-74641.67328000747
-106813.88181130427	-73679.94692041563	0.9704852426213098	-74657.88696972153
-106655.74287156369	-73684.36825592663	0.9699849924962471	-74674.00431242402
-106498.81351765356	-73688.82163338241	0.9694847423711846	-74690.02698853028
-106343.08613209499	-73693.30715009502	0.9689844922461222	-74705.95662327364
-106188.55309794466	-73697.82486507857	0.9684842421210595	-74721.79478937603
-106035.20680108728	-73702.3748014566	0.967983991995997	-74737.54300954886
-105883.03963231095	-73706.95694871558	0.9674837418709346	-74753.20275883752
-105732.04398931461	-73711.5712648121	0.9669834917458722	-74768.77546682171
-105582.21227850912	-73716.21767814929	0.9664832416208095	-74784.26251968215
-105433.53691676618	-73720.89608942844	0.965982991495747	-74799.6652621443
-105286.01033298972	-73725.60637338796	0.9654827413706846	-74814.9849993072
-105139.62496964546	-73730.34838043532	0.9649824912456219	-74830.22299836666
-104994.3732841525	-73735.12193818182	0.9644822411205594	-74845.38049023984
-104850.24775014361	-73739.92685288792	0.963981990995497	-74860.45867109825
-104707.24085875892	-73744.76291081925	0.9634817408704343	-74875.45870381557
-104565.34511973045	-73749.62987952895	0.9629814907453718	-74890.38171933634
-104424.55306250964	-73754.5275090614	0.9624812406203094	-74905.22881797019
-104284.85723721927	-73759.45553309182	0.9619809904952467	-74920.00107061747
-104146.25021561286	-73764.4136699992	0.9614807403701842	-74934.69951993032
-104008.72459197875	-73769.40162387844	0.9609804902451218	-74949.32518141314
-103872.27298388797	-73774.41908550097	0.9604802401200591	-74963.87904446677
-103736.8880330921	-73779.46573321476	0.9599799899949966	-74978.36207337996
-103602.56240610259	-73784.54123380574	0.9594797398699342	-74992.77520827102
-103469.28879498043	-73789.64524330279	0.9589794897448717	-75007.11936598293
-103337.05991790158	-73794.77740774711	0.958479239619809	-75021.39544093514
-103205.86851979696	-73799.93736391593	0.9579789894947465	-75035.60430593397
-103075.70737287437	-73805.12474001123	0.9574787393696841	-75049.7468129444
-102946.56927713404	-73810.33915631165	0.9569784892446214	-75063.8237938258
-102818.44706089077	-73815.58022578867	0.9564782391195589	-75077.83606103326
-102691.333581226	-73820.84755469242	0.9559779889944965	-75091.78440828671
-102565.2217243643	-73826.1407431096	0.9554777388694338	-75105.66961120951
-102440.1044061033	-73831.45938548972	0.9549774887443713	-75119.49242793859
-102315.97457220314	-73836.8030711448	0.9544772386193089	-75133.25359970726
-102192.82519871052	-73842.17138472569	0.9539769884942462	-75146.95385140236
-102070.64929225593	-73847.56390667525	0.9534767383691837	-75160.59389209749
-101949.4398904107	-73852.98021365439	0.9529764882441213	-75174.17441556291
-101829.19006192399	-73858.4198789519	0.9524762381190588	-75187.696100754
-101709.89290698805	-73863.88247287169	0.9519759879939961	-75201.159612279
-101591.54155748819	-73869.36756310091	0.9514757378689337	-75214.56560084759
-101474.12917723783	-73874.87471505927	0.9509754877438712	-75227.91470370036
-101357.64896210829	-73880.4034922362	0.9504752376188085	-75241.20754502129
-101242.09414035364	-73885.95345650085	0.949974987493746	-75254.44473633343
-101127.45797265403	-73891.52416841005	0.9494747373686835	-75267.62687687862
-101013.73375236538	-73897.11518749027	0.948974487243621	-75280.75455398217
-100900.91480557287	-73902.72607251558	0.9484742371185584	-75293.8283434035
-100788.99449134766	-73908.35638176028	0.9479739869934959	-75306.84880967281
-100677.96620175593	-73914.00567325206	0.9474737368684334	-75319.81650641511
-100567.82336204071	-73919.67350500276	0.9469734867433709	-75332.73197666163
-100458.5594306722	-73925.35943523479	0.9464732366183083	-75345.59575314967
-100350.16789945654	-73931.06302259254	0.9459729864932458	-75358.40835861122
-100242.64229363664	-73936.78382634342	0.9454727363681833	-75371.17030605079
-100135.97617190443	-73942.52140657365	0.9449724862431207	-75383.88209901309
-100030.16312651927	-73948.27532436793	0.9444722361180583	-75396.5442318411
-99925.19678332531	-73954.04514198554	0.9439719859929956	-75409.15718992456
-99821.07080177078	-73959.83042302745	0.9434717358679332	-75421.72144993993
-99717.7788750151	-73965.63073258946	0.9429714857428707	-75434.23748008149
-99615.31472988645	-73971.44563741617	0.942471235617808	-75446.70574028467
-99513.67212690749	-73977.27470604311	0.9419709854927456	-75459.12668244146
-99412.84486038308	-73983.11750892723	0.9414707353676831	-75471.50075060826
-99312.82675830391	-73988.97361858188	0.9409704852426204	-75483.82838120681
-99213.61168238819	-73994.84260969645	0.940470235117558	-75496.11000321839
-99115.19352813083	-74000.72405924862	0.9399699849924955	-75508.34603837114
-99017.56622470281	-74006.61754662014	0.939469734867433	-75520.53690132151
-98920.72373497127	-74012.5226536987	0.9389694847423704	-75532.68299982941
