alpha	beta	x	y
-56574.58387402195	-136531.5399481434	9.99999999999999e-16	-56574.58387402203
-117157.81525977366	-73231.98710263384	0.9999999999999991	-73231.98710263388
-117157.81525977366	-73231.98710263384	0.9999999999999991	-73231.98710263388
-116914.85835940044	-73255.86533772276	0.9994997498749365	-73277.705754442
-116665.55945861251	-73271.68429600023	0.998999499749874	-73315.09987895435
-116415.08557904485	-73284.62134033673	0.9984992496248114	-73349.34940072503
-116164.524934099	-73295.77497744754	0.9979989994997489	-73381.55536755593
-115914.38767996241	-73305.66560907042	0.9974987493746864	-73412.24070179406
-115664.96911149798	-73314.59872802184	0.9969984992496238	-73441.71339650656
-115416.46010854095	-73322.77536460166	0.9964982491245613	-73470.17696200419
-115168.992750075	-73330.3377009823	0.9959979989994988	-73497.7760403484
-114922.66268804227	-73337.39144516924	0.9954977488744362	-73524.61877942934
-114677.5414368166	-73344.01812061032	0.9949974987493737	-73550.78912269243
-114433.68369298635	-73350.28238614065	0.9944972486243112	-73576.35412919987
-114191.13197002019	-73356.23667080463	0.9939969984992487	-73601.36860856884
-113949.91967686397	-73361.92425263258	0.9934967483741861	-73625.87819986374
-113710.07324360995	-73367.38138440238	0.9929964982491236	-73649.9214974734
-113471.61363654575	-73372.63880893092	0.9924962481240611	-73673.53156651686
-113234.55746749684	-73377.72286849807	0.9919959979989985	-73696.73705238204
-112998.91782460868	-73382.65633583903	0.991495747873936	-73719.5630118316
-112764.70490706996	-73387.45904893376	0.9909954977488735	-73742.0315479065
-112531.92651810146	-73392.14840429602	0.9904952476238109	-73764.16230332672
-112300.5884540989	-73396.73974611565	0.9899949974987484	-73785.97284974734
-112070.69481550246	-73401.24667737013	0.9894947473736859	-73807.47899898136
-111842.24825835059	-73405.68131153048	0.9889944972486233	-73828.69505481719
-111615.25020000481	-73410.05447839494	0.9884942471235608	-73849.63401896378
-111389.70098893138	-73414.37589404469	0.9879939969984983	-73870.3077611169
-111165.60004610624	-73418.65430241064	0.9874937468734357	-73890.72716063599
-110942.94598373238	-73422.89759413937	0.9869934967483732	-73910.9022255198
-110721.73670563943	-73427.11290713066	0.9864932466233107	-73930.84219305353
-110501.9694927277	-73431.30671214656	0.9859929964982481	-73950.55561552642
-110283.64107618314	-73435.48488616137	0.9854927463731856	-73970.05043369049
-110066.7477005214	-73439.65277556905	0.9849924962481231	-73989.33404007561
-109851.28517818844	-73443.81525094074	0.9844922461230605	-74008.41333385457
-109637.24893710004	-73447.97675469657	0.983991995997998	-74027.29476862203
-109424.63406220438	-73452.1413428	0.9834917458729355	-74045.9843941959
-109213.4353318834	-73456.31272138322	0.9829914957478729	-74064.48789334774
-109003.6472501993	-73460.49427904593	0.9824912456228104	-74082.81061420873
-108795.26407528084	-73464.68911545047	0.9819909954977479	-74100.95759896921
-108588.27984457792	-73468.90006672585	0.9814907453726854	-74118.93360938747
-108382.68839740909	-73473.12972811138	0.9809904952476228	-74136.74314953879
-108178.48339499778	-73477.38047420712	0.9804902451225603	-74154.39048616856
-107975.6583385181	-73481.654477134	0.9799899949974978	-74171.87966695662
-107774.20658532233	-73485.95372286679	0.9794897448724352	-74189.21453695421
-107574.12136342502	-73490.280025966	0.9789894947473727	-74206.39875341639
-107375.39578478521	-73494.63504289239	0.9784892446223102	-74223.43579922128
-107178.02285712058	-73499.02028407772	0.9779889944972476	-74240.32899504018
-106981.99549483295	-73503.43712488456	0.9774887443721851	-74257.08151040119
-106787.30652876128	-73507.88681558637	0.9769884942471226	-74273.69637376851
-106593.94871515929	-73512.37049046949	0.97648824412206	-74290.17648174537
-106401.91474389115	-73516.88917615154	0.9759879939969975	-74306.52460749299
-106211.19724588981	-73521.44379919955	0.975487743871935	-74322.74340844812
-106021.7888000039	-73526.03519311766	0.9749874937468724	-74338.83543340999
-105833.6819392555	-73530.66410476873	0.9744872436218099	-74354.80312906032
-105646.86915663876	-73535.33120028363	0.9739869934967474	-74370.64884597174
-105461.34291041561	-73540.03707050941	0.9734867433716851	-74386.37484415378
-105277.09562898363	-73544.78223603971	0.9729864932466223	-74401.9832981803
-105094.11971540881	-73549.56715186447	0.9724862431215598	-74417.476301937
-104912.40755158091	-73554.3922116753	0.9719859929964975	-74432.85587302335
-104731.95150206523	-73559.25775185677	0.9714857428714347	-74448.12395684024
-104552.7439176272	-73564.16405519245	0.9709854927463722	-74463.28243039068
-104374.77713862895	-73569.1113543048	0.9704852426213098	-74478.33310581815
-104198.04349797442	-73574.09983486231	0.9699849924962471	-74493.27773370512
-104022.5353240548	-73579.12963856028	0.9694847423711846	-74508.11800615168
-103848.2449433078	-73584.2008659057	0.9689844922461222	-74522.85555965207
-103675.16468274998	-73589.31357881216	0.9684842421210595	-74537.49197778571
-103503.28687219927	-73594.46780302854	0.967983991995997	-74552.0287937374
-103332.60384647074	-73599.66353040647	0.9674837418709346	-74566.4674926597
-103163.10794727763	-73604.90072102754	0.9669834917458722	-74580.80951389026
-102994.79152517958	-73610.17930519088	0.9664832416208095	-74595.05625303445
-102827.64694121794	-73615.49918528264	0.965982991495747	-74609.20906392379
-102661.66656859474	-73620.86023752578	0.9654827413706846	-74623.26926045914
-102496.84279418751	-73626.26231362477	0.9649824912456219	-74637.23811834685
-102333.16801989172	-73631.70524231486	0.9644822411205594	-74651.11687673607
-102170.6346639982	-73637.18883081415	0.963981990995497	-74664.90673976328
-102009.23516239085	-73642.71286619431	0.9634817408704343	-74678.60887801142
-101848.96196974137	-73648.27711666864	0.9629814907453718	-74692.22442988897
-101689.80756054372	-73653.88133280908	0.9624812406203094	-74705.75450293421
-101531.76443013201	-73659.5252486924	0.9619809904952467	-74719.20017505031
-101374.82509566932	-73665.20858298018	0.9614807403701842	-74732.56249567508
-101218.98209697613	-73670.93103994234	0.9609804902451218	-74745.84248689015
-101064.22799739738	-73676.69231042042	0.9604802401200591	-74759.04114447306
-100910.55538457677	-73682.49207273975	0.9599799899949966	-74772.15943889634
-100757.95687115079	-73688.32999357319	0.9594797398699342	-74785.19831627645
-100606.42509550054	-73694.20572875382	0.9589794897448717	-74798.15869927572
-100455.9527222938	-73700.11892405167	0.958479239619809	-74811.0414879607
-100306.53244319969	-73706.06921589973	0.9579789894947465	-74823.84756061871
-100158.1569773318	-73712.05623209183	0.9574787393696841	-74836.57777453576
-100010.8190718467	-73718.0795924359	0.9569784892446214	-74849.23296673773
-99864.51150240938	-73724.13890937767	0.9564782391195589	-74861.81395469722
-99719.22707367764	-73730.23378858955	0.9559779889944965	-74874.32153700767
-99574.95861967522	-73736.36382953344	0.9554777388694338	-74886.75649402702
-99431.69900423463	-73742.52862599016	0.9549774887443713	-74899.11958849244
-99289.44112137963	-73748.72776656368	0.9544772386193089	-74911.41156610759
-99148.17789563048	-73754.9608351621	0.9539769884942462	-74923.63315610414
-99007.90228236743	-73761.22741145127	0.9534767383691837	-74935.78507177906
-98868.60726811885	-73767.52707128738	0.9529764882441213	-74947.86801100834
-98730.28587083274	-73773.85938712863	0.9524762381190588	-74959.8826567394
-98592.93114014488	-73780.22392842518	0.9519759879939961	-74971.82967746227
-98456.53615763865	-73786.62026198978	0.9514757378689337	-74983.70972766161
-98321.0940370522	-73793.04795235125	0.9509754877438712	-74995.52344824956
-98186.59792444884	-73799.5065620923	0.9504752376188085	-75007.27146698142
-98053.04099850441	-73805.99565216378	0.949974987493746	-75018.95439885418
-97920.41647057922	-73812.51478219371	0.9494747373686835	-75030.57284648935
-97788.71758494427	-73819.0635107728	0.948974487243621	-75042.12740050042
