alpha	beta	x	y
-44868.26320803354	-90775.98699520124	0.0	-44868.26320803354
-45135.20068850004	-79226.98891879559	0.05	-46839.79010001481
-45594.91062850824	-73265.61190427667	0.1	-48361.98075608508
-46124.3392551952	-69574.86924709885	0.15	-49641.918753980746
-46752.203587209166	-66609.52419523211	0.2	-50723.66770881375
-47550.28455152107	-63843.740521097876	0.25	-51623.648543915275
-48546.06759571569	-61216.91764250108	0.3	-52347.32260975131
-49712.21015227243	-58807.87527088732	0.35	-52895.692943787646
-50996.38084131493	-56675.618095223996	0.4	-53268.07574287856
-52361.00915947195	-54810.90487096642	0.45	-53463.46222964446
-53825.26012069822	-53165.62200177807	0.5	-53495.44106123815
-55480.90504597696	-51706.31843274161	0.55	-53404.882408697515
-57346.678783019066	-50331.17775800318	0.6	-53137.378168009534
-59477.90601734632	-49041.895826045446	0.65	-52694.499393000755
-61868.87926371598	-47882.63205337786	0.7	-52078.5062164793
-64437.28897584586	-46910.02050640937	0.75	-51291.83762376849
-67073.44321110097	-46151.66381000119	0.8	-50336.01969022115
-69801.78440274828	-45575.30305709381	0.85	-49209.27525894198
-73110.81820620075	-45099.46430771063	0.9	-47900.59969755964
-78510.49238901431	-44679.30526882855	0.95	-46370.86462483784
-89309.57812148324	-44434.90013384707	1.0	-44434.90013384707
