x	y	temp
0.0	0.0	1433
0.05	1.8131917209139345	1433
0.1	2.927942084554985	1433
0.15	3.8300480003622113	1433
0.2	4.57101677019412	1433
0.25	5.170499265882242	1433
0.3	5.638043716654607	1433
0.35	5.980139926890217	1433
0.4	6.203160463931937	1433
0.45	6.314216295143737	1433
0.5	6.320696786805286	1433
0.55	6.2291429984774	1433
0.6	6.0440217660266455	1433
0.65	5.766750354131702	1433
0.7	5.395025652991464	1433
0.75	4.922208943272494	1433
0.8	4.336178933179994	1433
0.85	3.616419830528514	1433
0.9	2.7258969219070934	1433
0.95	1.582029525954539	1433
1.0	0.0	1433
